,annotators,total1,total2,match2,agreed_overlap,disagreed_overlap,only_anno1,only_anno2,pmcid
0,"A,B",147,147,147,0,0,0,0,PMC4866616
1,"A,C",147,147,147,0,0,0,0,PMC4866616
2,"B,C",147,147,147,0,0,0,0,PMC4866616
3,"A,B",17,17,17,0,0,0,0,PMC4090160
4,"A,C",17,17,17,0,0,0,0,PMC4090160
5,"B,C",17,17,17,0,0,0,0,PMC4090160
6,"A,B",179,179,177,0,0,0,0,PMC4789058
7,"A,C",179,179,177,0,0,0,0,PMC4789058
8,"B,C",179,179,177,0,0,0,0,PMC4789058
9,"A,B",425,422,419,3,0,3,0,PMC3981893
10,"A,C",425,420,412,3,0,10,5,PMC3981893
11,"B,C",422,420,413,2,0,7,5,PMC3981893
12,"A,B",293,294,291,2,0,0,1,PMC2720973
13,"A,C",293,299,291,2,0,0,6,PMC2720973
14,"B,C",294,299,294,0,0,0,5,PMC2720973
15,"A,B",222,222,221,1,0,0,0,PMC3836741
16,"A,C",222,212,211,1,0,10,0,PMC3836741
17,"B,C",222,212,212,0,0,10,0,PMC3836741
18,"A,B",688,686,685,0,1,1,0,PMC4914568
19,"A,C",688,684,684,0,0,3,0,PMC4914568
20,"B,C",686,684,682,0,1,3,1,PMC4914568
21,"A,B",47,45,43,2,0,2,0,PMC4320556
22,"A,C",47,45,43,2,0,2,0,PMC4320556
23,"B,C",45,45,45,0,0,0,0,PMC4320556
24,"A,B",305,305,304,0,0,1,1,PMC4831690
25,"A,C",305,305,304,1,0,0,0,PMC4831690
26,"B,C",305,305,303,1,0,1,1,PMC4831690
27,"A,B",154,154,132,0,0,0,0,PMC4499843
28,"A,C",154,154,132,0,0,0,0,PMC4499843
29,"B,C",154,154,132,0,0,0,0,PMC4499843
30,"A,B",503,503,502,1,0,0,0,PMC3787392
31,"A,C",503,503,502,1,0,0,0,PMC3787392
32,"B,C",503,503,503,0,0,0,0,PMC3787392
33,"A,B",451,537,447,2,3,0,85,PMC3029330
34,"A,C",451,538,448,2,2,0,86,PMC3029330
35,"B,C",537,538,537,0,0,0,1,PMC3029330
36,"A,B",528,528,523,3,2,1,0,PMC3892176
37,"A,C",528,529,523,1,3,1,1,PMC3892176
38,"B,C",528,529,522,3,3,0,1,PMC3892176
39,"A,B",195,194,194,0,0,1,0,PMC3435272
40,"A,C",195,194,194,0,0,1,0,PMC3435272
41,"B,C",194,194,194,0,0,0,0,PMC3435272
42,"A,B",218,217,217,0,0,1,0,PMC6037156
43,"A,C",218,217,217,0,0,1,0,PMC6037156
44,"B,C",217,217,217,0,0,0,0,PMC6037156
45,"A,B",28,28,28,0,0,0,0,PMC4462005
46,"A,C",28,28,28,0,0,0,0,PMC4462005
47,"B,C",28,28,28,0,0,0,0,PMC4462005
48,"A,B",129,129,128,1,0,0,0,PMC4768280
49,"A,C",129,129,129,0,0,0,0,PMC4768280
50,"B,C",129,129,128,1,0,0,0,PMC4768280
51,"A,B",113,113,113,0,0,0,0,PMC4892805
52,"A,C",113,113,113,0,0,0,0,PMC4892805
53,"B,C",113,113,113,0,0,0,0,PMC4892805
54,"A,B",290,290,278,0,0,0,0,PMC4658497
55,"A,C",290,290,278,0,0,0,0,PMC4658497
56,"B,C",290,290,278,0,0,0,0,PMC4658497
57,"A,B",337,337,337,0,0,0,0,PMC4276928
58,"A,C",337,337,337,0,0,0,0,PMC4276928
59,"B,C",337,337,337,0,0,0,0,PMC4276928
60,"A,B",159,159,159,0,0,0,0,PMC5249225
61,"A,C",159,159,158,1,0,0,0,PMC5249225
62,"B,C",159,159,158,1,0,0,0,PMC5249225
63,"A,B",51,50,46,1,0,1,0,PMC6023005
64,"A,C",51,50,46,1,0,1,0,PMC6023005
65,"B,C",50,50,47,0,0,0,0,PMC6023005
66,"A,B",160,153,151,2,0,7,0,PMC1187897
67,"A,C",160,160,159,1,0,0,0,PMC1187897
68,"B,C",153,160,152,1,0,0,7,PMC1187897
69,"A,B",58,58,58,0,0,0,0,PMC4263299
70,"A,C",58,58,58,0,0,0,0,PMC4263299
71,"B,C",58,58,58,0,0,0,0,PMC4263299
72,"A,B",284,284,284,0,0,0,0,PMC5617383
73,"A,C",284,284,284,0,0,0,0,PMC5617383
74,"B,C",284,284,284,0,0,0,0,PMC5617383
75,"A,B",235,235,235,0,0,0,0,PMC4352028
76,"A,C",235,235,235,0,0,0,0,PMC4352028
77,"B,C",235,235,235,0,0,0,0,PMC4352028
78,"A,B",53,53,53,0,0,0,0,PMC5530572
79,"A,C",53,53,53,0,0,0,0,PMC5530572
80,"B,C",53,53,53,0,0,0,0,PMC5530572
81,"A,B",63,63,63,0,0,0,0,PMC5528876
82,"A,C",63,63,63,0,0,0,0,PMC5528876
83,"B,C",63,63,63,0,0,0,0,PMC5528876
84,"A,B",183,183,174,9,0,0,0,PMC4540425
85,"A,C",183,183,174,9,0,0,0,PMC4540425
86,"B,C",183,183,183,0,0,0,0,PMC4540425
87,"A,B",362,368,361,0,0,1,7,PMC4051163
88,"A,C",362,356,349,1,0,12,6,PMC4051163
89,"B,C",368,356,355,1,0,12,0,PMC4051163
90,"A,B",0,0,0,0,0,0,0,PMC2664782
91,"A,C",0,0,0,0,0,0,0,PMC2664782
92,"B,C",0,0,0,0,0,0,0,PMC2664782
93,"A,B",320,320,298,0,0,0,0,PMC4452330
94,"A,C",320,321,298,0,0,0,1,PMC4452330
95,"B,C",320,321,298,0,0,0,1,PMC4452330
96,"A,B",128,128,128,0,0,0,0,PMC3874094
97,"A,C",128,128,127,1,0,0,0,PMC3874094
98,"B,C",128,128,127,1,0,0,0,PMC3874094
99,"A,B",58,58,58,0,0,0,0,PMC5972578
100,"A,C",58,58,57,1,0,0,0,PMC5972578
101,"B,C",58,58,57,1,0,0,0,PMC5972578
102,"A,B",0,0,0,0,0,0,0,PMC5078810
103,"A,C",0,0,0,0,0,0,0,PMC5078810
104,"B,C",0,0,0,0,0,0,0,PMC5078810
105,"A,B",9,9,9,0,0,0,0,PMC5723443
106,"A,C",9,9,9,0,0,0,0,PMC5723443
107,"B,C",9,9,9,0,0,0,0,PMC5723443
108,"A,B",552,552,552,0,0,0,0,PMC4574349
109,"A,C",552,552,552,0,0,0,0,PMC4574349
110,"B,C",552,552,552,0,0,0,0,PMC4574349
111,"A,B",107,107,98,0,0,1,0,PMC5502978
112,"A,C",107,107,99,0,0,0,0,PMC5502978
113,"B,C",107,107,98,0,0,0,1,PMC5502978
114,"A,B",65,65,65,0,0,0,0,PMC5832847
115,"A,C",65,65,65,0,0,0,0,PMC5832847
116,"B,C",65,65,65,0,0,0,0,PMC5832847
117,"A,B",203,202,202,0,0,1,0,PMC5286694
118,"A,C",203,202,202,0,0,1,0,PMC5286694
119,"B,C",202,202,202,0,0,0,0,PMC5286694
120,"A,B",9,9,9,0,0,0,0,PMC4790888
121,"A,C",9,9,9,0,0,0,0,PMC4790888
122,"B,C",9,9,9,0,0,0,0,PMC4790888
123,"A,B",145,145,144,0,0,1,1,PMC4912736
124,"A,C",145,145,145,0,0,0,0,PMC4912736
125,"B,C",145,145,144,0,0,1,1,PMC4912736
126,"A,B",102,102,102,0,0,0,0,PMC5730077
127,"A,C",102,102,102,0,0,0,0,PMC5730077
128,"B,C",102,102,102,0,0,0,0,PMC5730077
