	exact	type	db_id
0	oligosaccharyltransferase	MIS_GP	
1	Arabidopsis	CRT_OG	
2	Plant	MIS_OG	
3	Plant	MIS_OG	
4	plant	MIS_OG	
5	Arabidopsis thaliana	CRT_OG	
6	ARTUMES	MIS_GP	
7	ARU	MIS_GP	
8	A. thaliana	CRT_OG	
9	ARU	MIS_GP	
10	ARU	MIS_GP	
11	OST3	CRT_GP	
12	oligosaccharyltransferase	MIS_GP	
13	cell surface proteins	CRT_GP	
14	ARTUMES	MIS_GP	
15	Arabidopsis	CRT_OG	
16	plants	CRT_OG	
17	plants	CRT_OG	
18	plants	CRT_OG	
19	plants	CRT_OG	
20	triploid	WT_DS	
21	plant	MIS_OG	
22	Ericaceae	CRT_OG	
23	Brassicaceae	CRT_OG	
24	feronia	MIS_GP	
25	sirène	MIS_GP	
26	fer	MIS_GP	
27	srn	MIS_GP	
28	lorelei	MIS_GP	
29	lre	CRT_GP	
30	nortia	MIS_GP	
31	nta	MIS_GP	
32	turan	MIS_GP	
33	tun	MIS_GP	
34	evan	MIS_GP	
35	evn	MIS_GP	
36	Zea mays embryo sac 4	WT_OG,GP	
37	ZmES4	MIS_GP	
38	FER	MIS_GP	
39	ZmES4	MIS_GP	
40	A. thaliana	CRT_OG	
41	ARTUMES	MIS_GP	
42	ARU	MIS_GP	
43	A. lyrata	CRT_OG	
44	A. thaliana	CRT_OG	
45	aru	MIS_GP	
46	A. thaliana	CRT_OG	
47	ARU	MIS_GP	
48	OST3	CRT_GP	
49	oligosaccharyltransferase	MIS_GP	
50	yeast	MIS_OG	
51	A. thaliana	CRT_OG	
52	OST3	CRT_GP	
53	Arabidopsis	CRT_OG	
54	A. thaliana	CRT_OG	
55	A. lyrata	CRT_OG	
56	A. thaliana	CRT_OG	
57	A. lyrata	CRT_OG	
58	A. lyrata	CRT_OG	
59	A. thaliana	CRT_OG	
60	A. arenosa	CRT_OG	
61	A. lyrata	CRT_OG	
62	A. lyrata	CRT_OG	
63	A. thaliana	CRT_OG	
64	A. thaliana	CRT_OG	
65	A. lyrata	CRT_OG	
66	A. arenosa	CRT_OG	
67	A. lyrata	CRT_OG	
68	Arabidopsis	CRT_OG	
69	A. thaliana	CRT_OG	
70	A. lyrata	CRT_OG	
71	A. thaliana	CRT_OG	
72	A. thaliana	CRT_OG	
73	A. lyrata	CRT_OG	
74	A. halleri	CRT_OG	
75	A. arenosa	CRT_OG	
76	A. lyrata	CRT_OG	
77	A. halleri	CRT_OG	
78	A. arenosa	CRT_OG	
79	A. thaliana	CRT_OG	
80	A. arenosa	CRT_OG	
81	A. lyrata	CRT_OG	
82	A. halleri	CRT_OG	
83	A. lyrata	CRT_OG	
84	A. halleri	CRT_OG	
85	A. arenosa	CRT_OG	
86	Brassicaceae	CRT_OG	
87	A. thaliana	CRT_OG	
88	A. lyrata	CRT_OG	
89	A. thaliana	CRT_OG	
90	defect	WT_DS	
91	ARTUMES	MIS_GP	
92	A. thaliana	CRT_OG	
93	Arabidopsis	CRT_OG	
94	At1g61780	MIS_GP	
95	At1g61790	MIS_GP	
96	At1g61810	MIS_GP	
97	At1g61795	MIS_GP	
98	At1g61790	MIS_GP	
99	A. lyrata	CRT_OG	
100	At1g61790	MIS_GP	
101	OST3	CRT_GP	
102	ARTUMES	MIS_GP	
103	ARU	MIS_GP	
104	aru-1	MIS_GP	
105	aru-2	MIS_GP	
106	aru-1	MIS_GP	
107	A. arenosa	CRT_OG	
108	aru	MIS_GP	
109	A. thaliana	CRT_OG	
110	ARU	MIS_GP	
111	ARU	MIS_GP	
