pmcid,sid,sent,text,span,tag
PMC3981893,9,Beneficial effects of metformin and losartan converged on mitochondria that demonstrated high membrane potential (Δψm) and low permeability transition pore opening. ,permeability transition pore,"(127, 155)",GP
PMC3981893,16,"For example, in mice with heart failure induced by left coronary artery occlusion and subsequent reperfusion, metformin improved LV function and attenuated cardiac hypertrophy 6. ",left coronary artery occlusion,"(51, 81)",DS
PMC3981893,21,"AngII type 1 (AT1R) and type 2 (AT2R) G protein–coupled receptors have been shown to mediate the effects of circulating and local (intracellular) AngII 9,10. ",G protein,"(38, 47)",GP
PMC3981893,21,"AngII type 1 (AT1R) and type 2 (AT2R) G protein–coupled receptors have been shown to mediate the effects of circulating and local (intracellular) AngII 9,10. ",AngII,"(0, 5)",GP
PMC3981893,112,"The effect of losartan (Los), metformin (Met), Nω-nitro-L-arginine methyl ester (L-NAME) or splitomicin (SP) on AngII type 1 (AT1R, A) and type 2 (AT2R, B) receptors in cell hypertrophy. ",AngII,"(112, 117)",GP
PMC3981893,134,"Recent studies identified p53, a well-known tumour suppressor protein, as a key player in heart failure. ","tumour suppressor protein,","(44, 70)",GP
PMC3981893,145,Metformin prevents mitochondrial membrane depolarization and increases the electron transfer chain (ETC) complex I activity in AngII-treated cardiomyocytes ,electron transfer chain,"(75, 98)",GP
PMC3981893,153,"Furthermore, physical interaction between p53 and cyclophilin D (CyP-D), a regulatory protein of the mitochondrial PTP, was found in the mitochondria of cancer cells 24 and in brains subjected to ischaemia/reperfusion 25. ",ischaemia,"(196, 205)",DS
PMC3981893,162,"Thus, metformin prevents depolarization of mitochondria, inhibits PTP opening and improves ETC activity in AngII-treated cells. ",ETC,"(91, 94)",GP
PMC3981893,164,"Effects of losartan (Los), metformin (Met), Nω-nitro-L-arginine methyl ester (L-NAME), splitomicin (SP) or pifithrin-α (Pf) on mitochondrial membrane potential (ΔΨm) and permeability transition pores (PTP) in AngII-treated cardiomyocytes. ",permeability transition pores,"(170, 199)",GP
PMC3981893,195,"Metformin is a well-known AMPK activator, and accumulated data demonstrate that AMPK activation plays a central role not only in cardioprotection against ischaemia/reperfusion injury 27 but also in induction of anti-hypertrophic/anti-remodelling effects 28. ",ischaemia,"(154, 163)",DS
PMC3981893,223,"A number of studies 6,43, including ours, 13 demonstrate that metformin therapy attenuates mitochondrial dysfunction during ischaemia/reperfusion and heart failure via yet unknown mechanisms. ",ischaemia,"(124, 133)",DS
PMC2720973,73,The aoxAB genes encoding the arsenite oxidase large and small subunits of Thiomonas sp. ,aoxAB,"(4, 9)",GP
PMC2720973,75,Positive PCR results using primers which targeted a region of the aoxAB genes were obtained with DNA from all strains except Ynys1 and T. perometabolis. ,aoxAB,"(66, 71)",GP
PMC2720973,76,The aoxAB genes of WJ68 were much more divergent than those of T. arsenivorans and 3As (data not shown). ,aoxAB,"(4, 9)",GP
PMC2720973,100,aoxAB ,aoxAB,"(0, 5)",GP
