id,group_id,source,exact,prefix,suffix,anno_type,position_type,start,end,tags,all,origin_tags,comment,user,title,created
iLmLGNodEemcvIuMY-PJ4A,b53nbDmi,https://europepmc.org/articles/PMC4940692/,Women,s7313.7 %Youth & students285.3 %,183.4 %Open in a separate window,TextQuoteSelector,TextPositionSelector,31151,31156,MIS_OG,yes,[MIS_OG][ALL],,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T14:06:39.014897+00:00
gVQRANocEemPSRPPh5q6Jg,b53nbDmi,https://europepmc.org/articles/PMC4940692/,Human Immunodeficiency Virus,livery roles of CSOs working in , (HIV) prevention and mitigation,TextQuoteSelector,TextPositionSelector,12682,12710,MIS_OG,no,MIS_OG,,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T13:59:17.257637+00:00
bugA5NocEemXNgviwl8JDw,b53nbDmi,https://europepmc.org/articles/PMC4940692/,human,"s, ethnic lobbies, foundations, "," rights promoters, labour unions",TextQuoteSelector,TextPositionSelector,11082,11087,CRT_OG,yes,[CRT_OG][ALL],,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T13:58:46.076269+00:00
XFc54NocEemRcCP8Hy9qBw,b53nbDmi,https://europepmc.org/articles/PMC4940692/,HIV,"Civil society, Policy, Nigeria, ",", Governance, HIV prevention, Ri",TextQuoteSelector,TextPositionSelector,10587,10590,MIS_OG,yes,[MIS_OG][ALL],,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T13:58:14.871686+00:00
SSndBNodEemGkNvrY26vRw,b53nbDmi,https://europepmc.org/articles/PMC4940692/,NACA,e National AIDS Control Agency (,) and discussions with NACA-led ,TextQuoteSelector,TextPositionSelector,24440,24444,WT_GP,yes,[WT_GP][ALL],,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T14:04:52.518763+00:00
J4DI5NocEem1vQ8W6vMenA,b53nbDmi,https://europepmc.org/articles/PMC4940692/,HIV,n Human Immunodeficiency Virus (,) prevention and mitigation. We ,TextQuoteSelector,TextPositionSelector,8603,8606,CRT_OG,yes,[CRT_OG][ALL],,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T13:56:46.574538+00:00
Iy2idtocEem2FStci2Vyqg,b53nbDmi,https://europepmc.org/articles/PMC4940692/,Human Immunodeficiency Virus,livery roles of CSOs working in , (HIV) prevention and mitigation,TextQuoteSelector,TextPositionSelector,8573,8601,CRT_OG,yes,[CRT_OG][ALL],,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T13:56:39.290954+00:00
GT73UNodEem4NHONu8glFg,b53nbDmi,https://europepmc.org/articles/PMC4940692/,vis,gthening the power of the state ,-à-vis civil society. As a resul,TextQuoteSelector,TextPositionSelector,48047,48050,WT_GP,yes,[WT_GP][ALL],,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T14:03:31.756748+00:00
AGubDNodEemaFkdALXcNew,b53nbDmi,https://europepmc.org/articles/PMC4940692/,AIDS,rehensive Response Plan for HIV/, is also a critical requirement ,TextQuoteSelector,TextPositionSelector,22891,22895,MIS_DS,yes,[MIS_DS][ALL],,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T14:02:50.309711+00:00
7--e1tocEem9nV_xuRztYA,b53nbDmi,https://europepmc.org/articles/PMC4940692/,aids,"nyone who “performs, witnesses, ",", or abets” a same-sex marriage ",TextQuoteSelector,TextPositionSelector,22121,22125,WT_DS,no,[WT_DS],,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T14:02:22.824298+00:00
5xZyAtodEemcbfNP8RgHGg,b53nbDmi,https://europepmc.org/articles/PMC4940692/,Acquired Immunodeficiency Syndrome,"fforts.Go to:AbbreviationsAIDS, ","; CSO, Civil Society Organizatio",TextQuoteSelector,TextPositionSelector,51459,51493,CRT_DS,no,CRT_DS,,acct:vanitha_hg@hypothes.is,Civil society advocacy in Nigeria: promoting democratic norms or donor demands?,2019-09-18T14:09:17.251703+00:00
