id,group_id,source,exact,prefix,suffix,anno_type,position_type,start,end,tags,all,origin_tags,comment,user,title,created
xgnR6tYgEemPNxdhggIMug,3NabqAPM,https://europepmc.org/articles/PMC4906686/,cancer,so the growth of drug-resistant , cells. Radiation therapy is one,TextQuoteSelector,TextPositionSelector,9613,9619,WS_DS,no,WS_DS,,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:19:45.912779+00:00
u535rNYgEem_ucdVGMnJCA,3NabqAPM,https://europepmc.org/articles/PMC4906686/,effects of chemotherapy, as a result of the severe side , or from a drug-resistance-relat,TextQuoteSelector,TextPositionSelector,9128,9151,WT_DS,no,[WT_DS],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:19:28.276382+00:00
s37MLtYgEemxyhuEXr27pA,3NabqAPM,https://europepmc.org/articles/PMC4906686/,human,under in vitro conditions using , breast and lung epithelial cell,TextQuoteSelector,TextPositionSelector,7933,7938,CRT_OG,yes,[CRT_OG][ALL],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:19:14.694810+00:00
rQ6plNYhEemiYefQeYKr-g,3NabqAPM,https://europepmc.org/articles/PMC4906686/,cholera toxin, 20 ng mL−1 EGF and 100 ng mL−1 ,. A549 lung cancer cells were gr,TextQuoteSelector,TextPositionSelector,35781,35794,MIS_GP,no,MIS_GP,,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:26:13.375968+00:00
rEsk1NYgEemGgPfKZ9CiWQ,3NabqAPM,https://europepmc.org/articles/PMC4906686/,tumor,"trasound, such as that used for "," ablation, does not differentiat",TextQuoteSelector,TextPositionSelector,7727,7732,CRT_DS,yes,[CRT_DS][ALL],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:19:02.703866+00:00
pf-L2u8ZEemh5xcMiuhTaw,3NabqAPM,https://europepmc.org/articles/PMC4906686/,ppm,SA) and was estimated to be 2–3 ,. The water temperature in the t,TextQuoteSelector,TextPositionSelector,31003,31006,WT_GP,no,[WT_GP],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-10-15T07:01:44.782957+00:00
oqzXktYgEemU4VMNRCZwnA,3NabqAPM,https://europepmc.org/articles/PMC4906686/,cancer,D: 27301243Selective killing of , cells by nanoparticle-assisted ,TextQuoteSelector,TextPositionSelector,5714,5720,CRT_DS,yes,[CRT_DS][ALL],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:18:46.385698+00:00
ngvevNYhEemJvTuIM2Vp7w,3NabqAPM,https://europepmc.org/articles/PMC4906686/,Diva,und-treated cells using BD FACS , software version 6.0.Transmissi,TextQuoteSelector,TextPositionSelector,34102,34106,WT_GP,no,[WT_GP],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:25:48.298443+00:00
mRdF4NYhEemxPBuqEFG6qw,3NabqAPM,https://europepmc.org/articles/PMC4906686/,FACS,flow cytometry analysis by a BD , Canto II system (BD Biosciences,TextQuoteSelector,TextPositionSelector,33878,33882,WT_GP,yes,[WT_GP][ALL],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:25:39.998282+00:00
k68MgtYhEemC8O-gLjQCHw,3NabqAPM,https://europepmc.org/articles/PMC4906686/,trypsin,nd washed in 0.5 mL PBS; 0.5 mL , was added to detach the cells. ,TextQuoteSelector,TextPositionSelector,33652,33659,CRT_GP,no,CRT_GP,,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:25:30.719597+00:00
izNsXu8ZEemGMS8hFuGs9w,3NabqAPM,https://europepmc.org/articles/PMC4906686/,emu,ation was estimated to be 54.87 , g−1 of iron mass. The anhystere,TextQuoteSelector,TextPositionSelector,28238,28241,WT_OG,no,[WT_OG],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-10-15T07:00:59.711909+00:00
i7mhVNYhEem34WPRamHNoA,3NabqAPM,https://europepmc.org/articles/PMC4906686/,prostate cancer,. For the clinical treatment of ,", an US power of ~40 W is typica",TextQuoteSelector,TextPositionSelector,32167,32182,CRT_DS,no,CRT_DS,,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:25:17.474044+00:00
f4o5ttYhEembnJPu5c2tFQ,3NabqAPM,https://europepmc.org/articles/PMC4906686/,A10,ed from a Millipore Q Synthesis , water purification system (resi,TextQuoteSelector,TextPositionSelector,30641,30644,WT_GP,no,[WT_GP],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:24:56.806887+00:00
dsfM0NYhEemzOJefMdB8_Q,3NabqAPM,https://europepmc.org/articles/PMC4906686/,RFP,"o, and red fluorescent protein (",) gene cDNA was constructed to b,TextQuoteSelector,TextPositionSelector,29352,29355,CRT_GP,yes,[CRT_GP][ALL],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:24:42.405035+00:00
cDMKsNYhEemFuSs-hdJqwg,3NabqAPM,https://europepmc.org/articles/PMC4906686/,GFP,ncy. Green fluorescent protein (,) gene cDNA was constructed into,TextQuoteSelector,TextPositionSelector,29228,29231,CRT_GP,yes,[CRT_GP][ALL],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:24:31.150719+00:00
a0LvUtYhEemwGe8TIqfiqQ,3NabqAPM,https://europepmc.org/articles/PMC4906686/,Green fluorescent protein,urvived and grew to confluency. , (GFP) gene cDNA was constructed,TextQuoteSelector,TextPositionSelector,29201,29226,CRT_GP,no,CRT_GP,,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:24:23.035807+00:00
Yj74QtYhEemdBo-wb8mtnQ,3NabqAPM,https://europepmc.org/articles/PMC4906686/,bovine ,s medium (DMEM) with 10 % fetal ,serum (FBS). Defined Keratinocyt,TextQuoteSelector,TextPositionSelector,28616,28623,WT_OG,no,[WT_OG],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:24:07.836131+00:00
Uy-d8tYhEemp5vPPXf2QGg,3NabqAPM,https://europepmc.org/articles/PMC4906686/,cotton,deposited onto a small piece of , and dried at room temperature f,TextQuoteSelector,TextPositionSelector,27852,27858,WT_OG,no,[WT_OG],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:23:42.415326+00:00
S1WirNYhEemz-U-u8PmTKA,3NabqAPM,https://europepmc.org/articles/PMC4906686/,PVA,solution of poly(vinylalcohol) (,) at 80 °C. PVA with an average ,TextQuoteSelector,TextPositionSelector,26566,26569,WT_GP,yes,[WT_GP][ALL],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:23:29.362330+00:00
Q6MdGNYiEemFv_OpjKhcMw,3NabqAPM,https://europepmc.org/articles/PMC4906686/, red fluorescent proteins,ung cells labeled with green and,", respectively, were treated wit",TextQuoteSelector,TextPositionSelector,8139,8164,MIS_GP,yes,[MIS_GP][ALL],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:30:26.055389+00:00
Q3e_KtYhEemxC3PIcZ1DIA,3NabqAPM,https://europepmc.org/articles/PMC4906686/, Pella,ined from BBI International (Ted,", Redding, CA).A TEM image of go",TextQuoteSelector,TextPositionSelector,26127,26133,WT_OG,no,[WT_OG],,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:23:16.127844+00:00
OttiVNYhEem1ImuiTkKrFQ,3NabqAPM,https://europepmc.org/articles/PMC4906686/,malignant tumors, ablation. For the treatment of ," in vivo, a decrease in US power",TextQuoteSelector,TextPositionSelector,25745,25761,CRT_DS,no,CRT_DS,,acct:vaishnavijpai@hypothes.is,Selective killing of cancer cells by nanoparticle-assisted ultrasound.,2019-09-13T12:23:01.626951+00:00
