id,group_id,source,exact,prefix,suffix,anno_type,position_type,start,end,tags,all,origin_tags,comment,user,title,created
zeDrVogeEem9-ico4qB_iw,jgraPEon,https://europepmc.org/articles/PMC3892176/,echinoderm microtubule-associated protein-like 4,se of the nucleophosmin–ALK and ,–ALK oncoproteins. It is now als,TextQuoteSelector,TextPositionSelector,10235,10283,WS_GP,no,WS_GP,,acct:farheen.s@hypothes.is,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells.,2019-06-06T05:49:09.169648+00:00
zPd1EognEemd3K-U30-8Fg,jgraPEon,https://europepmc.org/articles/PMC3892176/,phosphoproteins,this investigation. The list of , contains both known and novel A,TextQuoteSelector,TextPositionSelector,34373,34388,CRT_GP,yes,[CRT_GP][ALL],,acct:farheen.s@hypothes.is,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells.,2019-06-06T06:53:33.230253+00:00
zFbi7IgcEemaGedAOMxcKQ,jgraPEon,https://europepmc.org/articles/PMC3892176/,ALK robustly activates STAT3 on Tyr705 in a number of independent neuroblastoma,er. We show here that activated ," cell lines. Furthermore, knockd",TextQuoteSelector,TextPositionSelector,11108,11187,YGD,no,YGD,,acct:farheen.s@hypothes.is,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells.,2019-06-06T05:34:47.723308+00:00
z0_OCogmEemkKYfy-7yxFQ,jgraPEon,https://europepmc.org/articles/PMC3892176/,"neuroblastoma cell lines, measuring their growth in response to treatment with the STAT3","B-GE, CLB-BAR, Kelly and CLB-GA ", inhibitor FLLL32 or STAT3 siRNA,TextQuoteSelector,TextPositionSelector,29306,29394,AMB,no,AMB,,acct:farheen.s@hypothes.is,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells.,2019-06-06T06:46:27.772393+00:00
xoLduIg0EempaO9nl-6tBA,jgraPEon,https://europepmc.org/articles/PMC3892176/,SHP-2," kinase, cancer, neuroblastoma, ",", signal transducer and activato",TextQuoteSelector,TextPositionSelector,11652,11657,MIS_GP,no,MIS_GP,,acct:farheen.s@hypothes.is,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells.,2019-06-06T08:26:25.933735+00:00
x6ZRUoggEemkIHscE_KwRg,jgraPEon,https://europepmc.org/articles/PMC3892176/,IRS-1,es these residues in binding of ," (Tyr1096) 48, and SNT (FRS2) (T",TextQuoteSelector,TextPositionSelector,33396,33401,CRT_GP,no,CRT_GP,,acct:farheen.s@hypothes.is,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells.,2019-06-06T06:03:17.939896+00:00
wRCfOIaeEemflwc6_iKFYg,jgraPEon,https://europepmc.org/articles/PMC3892176/,receptor tyrosine kinase,naplastic lymphoma kinase (ALK) , is a key oncogenic mechanism in,TextQuoteSelector,TextPositionSelector,9914,9938,MIS_GP,yes,[MIS_GP][ALL],,acct:farheen.s@hypothes.is,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells.,2019-06-04T08:00:00.993346+00:00
wOuJHIgcEem3bk-04TK3BQ,jgraPEon,https://europepmc.org/articles/PMC3892176/,"ALK regulates MYCN transcription in neuroblastoma cells and collaborates with MYCN in neuroblastoma pathogenesis 34–37, we decided to investigate a role for STAT3",nGiven recent observations that ," in this process. Initially, we ",TextQuoteSelector,TextPositionSelector,23120,23282,AMB,no,AMB,,acct:farheen.s@hypothes.is,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells.,2019-06-06T05:34:28.572785+00:00
w5pL-ogfEemMzHO9DnbMIQ,jgraPEon,https://europepmc.org/articles/PMC3892176/,fibroblast growth factor receptor substrate 2,ently published results such as , (FRS2) 23. One of the proteins ,TextQuoteSelector,TextPositionSelector,14715,14760,CRT_GP,no,CRT_GP,,acct:farheen.s@hypothes.is,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells.,2019-06-06T05:56:01.488996+00:00
vufkQIgbEemb_VcKuZUjmg,jgraPEon,https://europepmc.org/articles/PMC3892176/,kinase,a.Keywords: anaplastic lymphoma ,", cancer, neuroblastoma, SHP-2, ",TextQuoteSelector,TextPositionSelector,11621,11627,MIS_GP,yes,[MIS_GP][ALL],,acct:farheen.s@hypothes.is,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells.,2019-06-06T05:27:15.779805+00:00
